id,log_price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,host_has_profile_pic,host_identity_verified,host_since,instant_bookable,latitude,longitude,name,number_of_reviews,thumbnail_url,zipcode,bedrooms,beds;;;;
13137179,4.605170185988092,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Welcome Home! Join our family of three in our private guest bedroom with its own private bathroom/laundry room and even private access to the kitchen! ,t,t,2015-01-31,f,34.18596276924028,-118.63055799522871,Private Room W/Private Bathroom,0.0,https://a0.muscache.com/im/pictures/65280163/67f8a67b_original.jpg?aki_policy=small,91307.0,1.0,1.0;;;;
16184636,5.1647859739235145,Bed & Breakfast,Private room,{},1.0,1.0,Real Bed,flexible,False,LA,One bedroom with shared bath in a three bedroom home. Room is in Ladera Heights area in Los Angeles airport and freeway close. Near shopping malls and public transportation. Room is centrally located Entire  house. Only if requested. Quiet neighborhood furnished and very comfortable.,t,f,2016-02-09,f,33.98726367031844,-118.36197561694512,Beautiful room in quiet area.,0.0,https://a0.muscache.com/im/pictures/edf86e5b-77a0-4fc2-9188-f802a43ac559.jpg?aki_policy=small,90056.0,1.0,1.0;;;;
5278479,5.886104031450156,House,Entire home/apt,{},7.0,2.0,Real Bed,flexible,True,LA,The house is in Alhambra have 3 room 2 bathroom. Close to Chinese supermarket and Chinese restaurants  and AMC theater and shopping mall Close to Chinese restaurants and supermarket Everything in the house Any time Close to everwhere,t,t,2016-11-13,f,34.07138636155242,-118.12601811138867,Nice house close to ever where,0.0,https://a0.muscache.com/im/pictures/59a3b45a-7d26-44e9-8600-778591ec1e07.jpg?aki_policy=small,91803.0,3.0,3.0;;;;
4766468,4.330733340286331,Bed & Breakfast,Shared room,{},2.0,1.0,Real Bed,strict,False,LA,Our apartment couch is an ideal bed and breakfast for 1 night traveling. You will get breakfast and a comfy sofa. Close to public transportation and walking distance to the beach,t,f,2016-08-27,f,33.7848552052567,-118.16596418302086,Great comfy sofa in apartment,0.0,https://a0.muscache.com/im/pictures/a2ad9aed-35bf-45b0-ad1b-fb06706bc069.jpg?aki_policy=small,90804.0,1.0,1.0;;;;
10272252,4.174387269895637,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Room with private bathroom. Comfy queen bed. Centrally located close to Hollywood and downtown. Kitchen privledge. House has charming cat and small dog and is animal friendly. Lots of on street parking available safe neighborhood. Close to bus.,t,t,2012-12-05,f,34.07920076549272,-118.28491402090091,Silverlake cottage with view of LA,0.0,https://a0.muscache.com/im/pictures/60584892/9a1ab26d_original.jpg?aki_policy=small,90004.0,1.0,1.0;;;;
5825816,3.912023005428147,House,Shared room,{},2.0,1.0,Real Bed,flexible,False,NYC,It's a simple place with a bed a desk and a coffee table a great place to crash for a night or two.,t,t,2016-02-12,f,40.74338703060926,-73.85972331313937,Safe room,0.0,,11368.0,1.0,1.0;;;;
2644321,5.247024072160486,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Private Bath. Private room.,t,t,2014-09-11,f,34.13942973973498,-117.97272747741384,1 upstairs bedroom + private bath,0.0,https://a0.muscache.com/im/pictures/64773834/df64f7c5_original.jpg?aki_policy=small,91010.0,1.0,1.0;;;;
15166391,4.605170185988092,House,Private room,{},3.0,1.0,Real Bed,flexible,True,LA,Close to beaches and southbay nightlife.. you have the entire upstairs of the house to yourself (2 girl roomies live downstairs)  Fully furnished bedroom and kitchen 1 bedroom shown in picture with new furniture and your own private bathroom with a jacuzzi outside your master bedroom.  2 balconies -barbque-fireplace Fully furnished entire upstairs with private bath and hot tub outside your patio door..just sit back and listen to the waves crash at night One parking spot  Washer and Dryer  Barbecue Jacuzzi Kitchen  2 balconies  Wifi  Cable tv We will great you at check in possibly or leave the key for you in a lock box if we aren't available Less then one Mile to the beach  Safe neighborhood Uber and taxis  Bike ride away to the beach,t,f,2016-08-22,f,33.87080236182665,-118.38713506376916,Luxury Master Bedroom with own bath,1.0,https://a0.muscache.com/im/pictures/ac26652e-84a6-47ef-962f-34bcd29f3784.jpg?aki_policy=small,90278.0,1.0,1.0;;;;
3666681,5.010635294096256,Apartment,Private room,{},1.0,1.0,Real Bed,flexible,False,Boston,Normal,t,f,2016-03-20,f,42.34271902042812,-71.07979046242194,South End Apartment,1.0,https://a0.muscache.com/im/pictures/16cc4954-cfb2-4e17-800f-ce846b0ea153.jpg?aki_policy=small,2118.0,1.0,1.0;;;;
15775189,4.0943445622221,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,True,LA,Pool access... BBQ.... Gym.... In apartment laundry.... WiFi.... Cable....,t,t,2016-07-03,f,34.09365363209219,-117.73058035609075,Nice bedroom with personal bathroom,3.0,https://a0.muscache.com/im/pictures/bb73c01b-dd64-46dc-8e2c-866a160ceb28.jpg?aki_policy=small,91711.0,1.0,1.0;;;;
10115466,4.605170185988092,Apartment,Private room,{},2.0,,Real Bed,flexible,False,NYC,VERY AFFORDABLE,t,f,2014-06-05,f,40.762670272916594,-73.98529426939874,LOVELY 2BR TIMES SQ APARTMENT,0.0,https://a0.muscache.com/im/pictures/be075c22-6b89-4961-80c4-6370b49e56cb.jpg?aki_policy=small,10019.0,1.0,;;;;
6131818,4.584967478670572,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Right by great shopping in melrose and incredible bars on Santa Monica Blvd.  Must love dogs. I have two that are very love able.   Comfortable room with free wifi and laundry.,t,f,2014-09-05,f,34.07937503476634,-118.35865005988664,Home in the middle of it all!! ,0.0,,90036.0,1.0,1.0;;;;
13270724,3.688879454113936,House,Private room,{},2.0,1.0,Real Bed,flexible,True,LA,如家一般的感觉,t,f,2017-01-11,t,33.985032364129765,-117.94326490537593,半山独立屋，闹中取静，生活便利,0.0,,91745.0,1.0,2.0;;;;
6438705,3.3672958299864737,Apartment,Shared room,{},1.0,1.0,Real Bed,strict,True,LA,Comfy couch close to everything,t,t,2013-03-08,t,34.068549732353056,-118.28686378408672,Comfy couch close to everything LA,8.0,https://a0.muscache.com/im/pictures/d0eedbc2-f07e-4d5d-a7ad-c31916e3c394.jpg?aki_policy=small,90020.0,1.0,1.0;;;;
7320353,5.521460917862246,Apartment,Shared room,{},1.0,1.0,Airbed,flexible,False,SF,SF Room,t,f,2013-02-20,f,37.79457622659306,-122.42617214145494,SF Room,1.0,https://a0.muscache.com/im/pictures/95476796/f216cd54_original.jpg?aki_policy=small,94109.0,1.0,1.0;;;;
20673030,5.703782474656202,Camper/RV,Entire home/apt,{},2.0,,Real Bed,strict,True,LA,Fully renovated Vintage trailer perched on the roof top of a downtown artist loft is available for a one of a kind travel experience!  ,t,f,2012-09-27,f,34.04159990320227,-118.23603063786436,1952 Vintage Rooftop Trailer ,29.0,https://a0.muscache.com/im/pictures/10323699/39121f81_original.jpg?aki_policy=small,90013.0,1.0,1.0;;;;
4154042,4.382026634673881,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Outdoor  Shared indoors Eclectic Unique Flexible Close to everything,t,t,2013-02-12,f,34.11669666526302,-118.3211685969507,Hollywood sign oasis,0.0,https://a0.muscache.com/im/pictures/22915459-423f-41a6-959a-57b1c65d1ee7.jpg?aki_policy=small,90068.0,1.0,1.0;;;;
8146498,4.31748811353631,House,Private room,{},1.0,1.0,Real Bed,flexible,True,DC,Our beautiful recently renovated house has a room with shared bathroom. It is super sunny with tons of Windows and closet space. The common areas are also warm welcoming and big enough to hang out with lots of character. There is a friendly dog in the house.,t,t,2013-08-04,f,38.95010288578871,-77.02026316494566,Private Room w/shared bathroom,0.0,https://a0.muscache.com/im/pictures/b56c30f6-13aa-4669-838f-b2e9f9766f20.jpg?aki_policy=small,20011.0,1.0,1.0;;;;
7548108,4.605170185988092,Boat,Entire home/apt,{},4.0,1.0,Real Bed,strict,True,NYC,stay aboard a sailboat,t,f,2011-09-12,t,40.84883793943792,-73.78227587249019,Stay aboard  a sailboat,0.0,https://a0.muscache.com/im/pictures/15f33093-3002-401b-84e4-69157c25cc8f.jpg?aki_policy=small,10464.0,1.0,3.0;;;;
317905,6.309918278226516,House,Entire home/apt,{},4.0,1.5,Real Bed,strict,False,DC,Howard Rental,t,t,2014-07-23,f,38.92541341786972,-77.02357957813598,Event Rental,0.0,,20001.0,1.0,1.0;;;;
5928742,4.700480365792417,Apartment,Shared room,{},1.0,1.0,Real Bed,flexible,False,NYC,...,t,t,2015-01-27,t,40.85960602582833,-73.8903074446325,Fm,0.0,https://a0.muscache.com/im/pictures/5a7e222b-a944-4d9d-8e83-fd797abe50e4.jpg?aki_policy=small,10458.0,1.0,1.0;;;;
18506665,5.634789603169249,House,Private room,{},1.0,1.0,Real Bed,flexible,False,LA,You can have our guest room. Single guest only,t,f,2016-07-27,f,33.76000120612101,-118.13136335351176,Spacious home in long beach,0.0,https://a0.muscache.com/im/pictures/49ebd007-88f3-44e8-9614-7a97bd08fe04.jpg?aki_policy=small,90803.0,1.0,1.0;;;;
1278784,3.912023005428147,House,Private room,{},2.0,1.0,Real Bed,flexible,True,LA,Comfy Private Room near LA w Queen Bed,t,f,2016-09-04,f,33.91034374871024,-118.08207147929843,Cozy Private Room Near LA,0.0,https://a0.muscache.com/im/pictures/d8454498-921d-4703-818e-27d16fd55c06.jpg?aki_policy=small,90650.0,1.0,1.0;;;;
752202,5.288267030694535,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,False,NYC,Good area respect neighbor good for business person ,f,f,2013-12-24,f,40.8267962447618,-73.90507111955662,Quiet and comfortable room spacious,0.0,https://a0.muscache.com/im/pictures/29692352/2046f89a_original.jpg?aki_policy=small,10456.0,1.0,1.0;;;;
17388109,4.477336814478207,Apartment,Entire home/apt,{},3.0,1.0,Real Bed,flexible,False,NYC,Great space with super high ceilings! Tastefully decorated. Studio with one bed. Shared bathroom with one other tenant.,t,t,2014-07-19,f,40.69525786300277,-73.95061932869056,Bohemian artist studio brownstone,12.0,https://a0.muscache.com/im/pictures/100069375/ee9d6e45_original.jpg?aki_policy=small,11206.0,1.0,1.0;;;;
16374702,5.926926025970412,Apartment,Entire home/apt,{},5.0,1.0,Real Bed,flexible,False,NYC,(URL HIDDEN) 2 bedroom (2 queen and sofa bed),t,f,2013-01-03,f,40.77555531282356,-73.95244931615376,Upper East Side Apatments,0.0,https://a0.muscache.com/im/pictures/59452428/acfbaeb0_original.jpg?aki_policy=small,10028.0,2.0,2.0;;;;
13125091,5.298317366548036,Apartment,Entire home/apt,{},7.0,2.0,Real Bed,flexible,False,NYC,15 min from JFK 15 min from Manhattan 10 min from Laguardia  Within minutes of Queens Biggest Mall 100 yards from all facilities and shopping needs on Grand Avenue  Brand new with Free cable and wifi  70 -  200 Dollars a night  Min stay 4 nights Wifi cable,t,f,2013-09-19,f,40.72508782386621,-73.89687431816337,4 bedroom 2Bath apt Maspeth Queens,12.0,https://a0.muscache.com/im/pictures/24157298/edfd7140_original.jpg?aki_policy=small,11378.0,4.0,4.0;;;;
27028,5.1647859739235145,Bed & Breakfast,Private room,{},1.0,1.0,Real Bed,flexible,False,SF,nice,t,f,2017-02-10,t,37.79163897141081,-122.40052354646458,space,0.0,https://a0.muscache.com/im/pictures/9070cc77-fb18-4ac5-b6ce-5b2059dba228.jpg?aki_policy=small,94104.0,0.0,1.0;;;;
4565981,4.442651256490317,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,True,SF,Super convenient location just above Borderlands cafe and bookstore. Say hello to the Transamerica Pyramid and watch Valencia go by on our balcony (with my succulents).,t,t,2013-03-19,f,37.7599350828015,-122.42055750674824,Comfy Valenica Street bedroom,0.0,https://a0.muscache.com/im/pictures/03292fda-2c8c-4faa-8685-85ca4e38b889.jpg?aki_policy=small,94110.0,1.0,1.0;;;;
8825297,4.787491742782046,Apartment,Private room,{},2.0,1.0,Real Bed,strict,False,NYC,Access to cable TV & Wifi ,t,f,2014-04-24,f,40.69164274040965,-73.92841822683928,COZY APT IN PREWAR BUILDING,0.0,https://a0.muscache.com/im/pictures/51686429/31065886_original.jpg?aki_policy=small,11221.0,1.0,1.0;;;;
6431931,4.442651256490317,Apartment,Shared room,{},1.0,,Airbed,moderate,False,LA,deleted,f,f,2008-08-30,f,33.984639546267715,-118.44006361584056,deleted,0.0,https://a0.muscache.com/im/pictures/4627/caa93d2d_original.jpg?aki_policy=small,90292.0,1.0,1.0;;;;
12036625,4.553876891600541,House,Private room,{},1.0,1.0,Futon,flexible,False,LA,3 Bedroom house to share with 2 Males. Very charming house in a great neighborhood! Renting out one bedroom. 1 1/2 miles from Venice Beach!,t,f,2015-03-16,f,34.011515915031644,-118.44993887065608,House to Share,0.0,https://a0.muscache.com/im/pictures/70712289/be5306ac_original.jpg?aki_policy=small,90066.0,1.0,1.0;;;;
19389707,5.1929568508902095,House,Private room,{},2.0,0.5,Real Bed,flexible,False,LA,great safe are near shopping.malls and beaches.public transportation,t,f,2014-01-28,f,33.80542657575653,-118.2932285921514,nice suburban home ,0.0,,90710.0,1.0,1.0;;;;
14647698,5.6167710976665735,Apartment,Private room,{},2.0,1.5,Real Bed,flexible,False,Boston,This is the best location in Boston hands down.  Steps away from Newbury Street/Esplanade exactly where the fireworks go off.  You cannot beat the peace and quiet while being steps away from the hustle and bustle.,t,f,2015-07-02,f,42.35292393562992,-71.08080354812249,Private Room Back Bay,0.0,https://a0.muscache.com/im/pictures/90355550/38d5bb32_original.jpg?aki_policy=small,2116.0,1.0,1.0;;;;
12000916,5.105945473900579,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Access to main bathroom. Guest bathroom has a shower but it doesn't work.,t,f,2016-10-08,f,33.843851767147854,-118.1663440114063,Attic Bedroom w/ guest bathroom,0.0,https://a0.muscache.com/im/pictures/466c7405-ac68-4e2b-a384-a3205c865104.jpg?aki_policy=small,90807.0,1.0,1.0;;;;
20557463,6.1092475827643655,House,Entire home/apt,{},6.0,3.0,Real Bed,flexible,False,LA,Nice 3 bedroom/2 bath house with a separate guesthouse with bath. Pool and garden.,t,t,2014-03-31,f,34.04986120275701,-118.52147294020102,Paradise in the Palisades,0.0,,90272.0,4.0,4.0;;;;
5360997,6.907755278982138,Apartment,Shared room,{},1.0,1.0,Real Bed,flexible,False,NYC,Studio apartment with couch. Away during the day,t,f,2011-01-21,t,40.69143339899932,-73.9924073353706,Shared Studio,0.0,https://a0.muscache.com/im/pictures/0ecb8a5d-7b60-408e-b946-c17cd9df5081.jpg?aki_policy=small,11201.0,1.0,1.0;;;;
5816154,5.6524891802686525,Apartment,Entire home/apt,{Essentials},3.0,1.0,Real Bed,strict,True,LA,Soaring ceilings and open floor plan with beautiful view of the Hollywood hills! Very unique! 1 bedroom 1 bathroom with wrap around floor to ceiling Windows.... Walking distance to everything! Can't beat the location! Just south of sunset and east of lacienega Blvd,t,t,2013-05-09,f,34.093164420663285,-118.37131406817365,Cecil B. DeMille built 20's apt!,5.0,https://a0.muscache.com/im/pictures/a83231ff-d8bd-4b27-8d6b-7d73d88f78f5.jpg?aki_policy=small,90069.0,1.0,1.0;;;;
8133891,4.691347882229144,Apartment,Private room,{},2.0,1.0,Real Bed,strict,False,LA,Right in the heart of Long Beach you will find a nice room. If it's just for one night or a whole month you will enjoy your stay. Close to LB and LAX airports,t,f,2016-09-02,f,33.79513144695318,-118.17523924046417,Small but comfy clean room,0.0,https://a0.muscache.com/im/pictures/8bad0286-d464-4ec1-a5ca-8c0444accbe3.jpg?aki_policy=small,90806.0,1.0,1.0;;;;
15508674,5.703782474656202,House,Private room,{},3.0,1.0,Real Bed,flexible,True,SF,One queen bed and one sleeper sofa in room and use of kitchen 3 blocks from famous Lombard crooked street.  8 blocks from Fisherman's Wharf Bathroom and kitchen Russian hills is an  upscale neighborhood with many restaurants and shops. 8 San Francisco Muni bus lines within 2 blocks.  Silicon valley buses within 2 blocks.,t,t,2010-08-09,f,37.798620103214176,-122.42137202577284,1 bedroom in Edwardian Russian Hill,0.0,https://a0.muscache.com/im/pictures/49163158/18ac49bb_original.jpg?aki_policy=small,94109.0,1.0,2.0;;;;
17656943,5.416100402204419,Other,Shared room,{},1.0,0.0,Couch,flexible,False,Boston,Private parking space in the driveway to go with your reservation at any of our rooms. Private parking space to go with your reservation at any of our rooms. Guest will have full access to the parking space designated exclusively for your vehicle. You can email me or text me at any time. Safe parking space in a safe neighborhood. Driving time:  Harvard Square - 6 minutes  Airport - 14 minutes  Fenway Park - Red Sox - 12 minutes  Downtown Boston - 14 minutes  Harvard Square - 5 minutes  Aquarium - 15 minutes  North End (Italian district) - 16 minutes  Boston Common Park - 14 minutes  John Hancock Statue Harvard Square - 6 minutes  Kenmore Square - 12 minutes  Allston Restaurant Row - 8 minutes  South Boston Seaport District - 12 minutes  Charlestown Navy Yard - 20 minutes  Museum of Science (Cambridge) 17 Minutes Please do not block other cars.,t,f,2015-01-30,f,42.360686115441936,-71.14150842924266,The Private Parking Space!,0.0,https://a0.muscache.com/im/pictures/106924995/e6c0cabf_original.jpg?aki_policy=small,2135.0,1.0,1.0;;;;
8363399,4.605170185988092,Apartment,Entire home/apt,{},1.0,1.0,Real Bed,flexible,False,LA,Staying Long Beach 97 with friendly people friendly environment,t,f,2016-08-18,f,33.8698277983994,-118.18590942313811,Staying Long Beach nice environment,0.0,https://a0.muscache.com/im/pictures/8180ed90-c0f8-4599-b2e3-1b60f719e920.jpg?aki_policy=small,90805.0,1.0,1.0;;;;
10067924,3.610917912644224,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,modern facilities,t,f,2017-04-24,f,33.771089694426784,-118.19298454132584,boyaxiyuan,0.0,https://a0.muscache.com/im/pictures/304eef31-d864-4b10-9c92-5cd9b411a24a.jpg?aki_policy=small,90802.0,1.0,1.0;;;;
12871617,4.382026634673881,House,Private room,{},2.0,2.0,Real Bed,flexible,False,LA,One bedroom,t,f,2015-04-24,f,34.31018503735485,-118.50607830675705,One bedroom,0.0,https://a0.muscache.com/im/pictures/105098058/1e6b4b9a_original.jpg?aki_policy=small,91344.0,1.0,4.0;;;;
794427,3.80666248977032,House,Shared room,{},1.0,1.0,Real Bed,flexible,False,NYC,Our homey CrashPad provides clean a comfortable accommodations for Airline pilots and flight attendants since April '11 Mzmclbaxz,t,f,2016-03-19,f,40.70375404941616,-73.83040402189913,CrashPadsUSA for Airline Crew. Nightly HOTBEDS,3.0,https://a0.muscache.com/im/pictures/5a94ceeb-568b-4d43-a190-49758edae349.jpg?aki_policy=small,11415.0,1.0,6.0;;;;
16673640,4.553876891600541,Apartment,Entire home/apt,{},2.0,1.0,Real Bed,flexible,False,LA,A great little one bedroom with full kitchen in the heart of West Hollywood CA  centrally located for convenience and access to all of the important LA locations.  Near Santa Monica  Hollywood and Beverly Hills.,t,f,2016-08-30,f,34.076267239470205,-118.38565019440566,Great one bedroom in W Hollywood!,7.0,https://a0.muscache.com/im/pictures/9f093cf7-71da-4bdf-bc89-b88f030854a8.jpg?aki_policy=small,90048.0,1.0,1.0;;;;
1036276,4.574710978503383,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,False,NYC,Comfortable private room in a two bedroom apartment. The bathroom is shared with the other roommate.,t,f,2015-02-17,f,40.72685851310155,-74.00151431003087,Private Room in Soho,0.0,,10012.0,1.0,1.0;;;;
19163361,3.555348061489413,House,Shared room,{},1.0,1.0,Real Bed,flexible,False,LA,A spare bed in the living room not too far from CSULB,t,f,2016-08-27,f,33.85420683329347,-118.12245795974115,Spare Bed in Lakewood,0.0,https://a0.muscache.com/im/pictures/8641bf4e-34fe-419f-a512-e0408afc763d.jpg?aki_policy=small,90713.0,1.0,1.0;;;;
21134697,4.605170185988092,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Beach house getaway with ocean and bay views and access.,t,f,2016-08-22,f,33.749455007602144,-118.12575192881022,1BD beach house on the Peninsula,0.0,,90803.0,1.0,1.0;;;;
1939655,5.010635294096256,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Signal Hill living in Long Beach next to Home Depot next to the freeway convenient,t,f,2016-06-03,f,33.79127410065416,-118.1647953526473,Signal Hill living Long Beach,0.0,https://a0.muscache.com/im/pictures/e31b9e59-9f88-4519-8d81-8ef8cbfb0b09.jpg?aki_policy=small,90755.0,1.0,1.0;;;;
2954320,5.6167710976665735,Condominium,Entire home/apt,{},1.0,1.0,Real Bed,flexible,False,Boston,Newly renovated condo in managed building with concierge located on waterfront of Boston's Northend.,t,f,2016-06-20,f,42.366226191464136,-71.05225031339678,Waterfront Northend Condo,0.0,https://a0.muscache.com/im/pictures/12997a85-3f5a-4ed1-8ac4-a3c7e284cf86.jpg?aki_policy=small,2109.0,1.0,2.0;;;;
2830518,3.828641396489095,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,broadband cable t v,t,f,2017-04-29,f,33.77101386736229,-118.19320785873067,lnk garden,0.0,https://a0.muscache.com/im/pictures/3ec42be4-486e-400f-bdd6-a107af8485ce.jpg?aki_policy=small,90802.0,1.0,1.0;;;;
7499960,4.605170185988092,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,One bedroom on the peninsula in an apartment. Few steps from the water. Access to kitchen and wifi.,t,f,2015-02-11,f,33.751568909047734,-118.12731035834076,1 BD on the peninsula,0.0,,90803.0,1.0,1.0;;;;
4621618,5.220355825078324,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,False,NYC,This extremely large artsy room is comfortable and perfect for 2 or 1. It's very relaxed and low key and is very stylish. Located 3 blocks from the AC & 1 trains and has a beautiful view of the George Washington Bridge,t,f,2013-11-29,f,40.84380483424745,-73.94367911699446,Amazing View From Large Bedroom ,0.0,https://a0.muscache.com/im/pictures/54371013/3278a48a_original.jpg?aki_policy=small,10032.0,1.0,1.0;;;;
16148051,2.302585092994046,Apartment,Private room,{},1.0,1.0,Real Bed,flexible,False,SF,jkl,t,t,2013-09-24,t,37.77124254710093,-122.40563971252442,jkl,0.0,https://a0.muscache.com/im/pictures/a6969d8c-d953-47f5-831d-be92623b77bb.jpg?aki_policy=small,94103.0,0.0,1.0;;;;
8981705,3.2958368660043287,Apartment,Shared room,{},1.0,1.0,Real Bed,flexible,False,LA,Really comfy spot by Mt Sac! Wifi and bathroom is shared looking forward to meet clean respectful people. Any questions please ask,t,f,2016-10-17,f,34.04359555705281,-117.85104660858808,Comfy couch in Walnut,0.0,https://a0.muscache.com/im/pictures/0e26a3f1-76c6-4c47-a78f-3c3410ec8df9.jpg?aki_policy=small,91789.0,1.0,1.0;;;;
10075450,4.4998096703302615,House,Shared room,{},1.0,1.0,Real Bed,strict,False,LA,Its one min from the airport around the corner from cvs food bar arera beach 10 min come join and live private,t,f,2016-02-21,t,33.946880730592675,-118.35152396492308,We love airbnb,1.0,https://a0.muscache.com/im/pictures/d50a2bc0-71ec-4c44-878d-c53b9768ec7c.jpg?aki_policy=small,90301.0,1.0,1.0;;;;
11817975,5.521460917862246,Apartment,Entire home/apt,{},6.0,2.0,Real Bed,flexible,False,NYC,UES on 90th BTW 2/3,t,t,2013-08-17,f,40.780805016341546,-73.95044975657659,UES,0.0,https://a0.muscache.com/im/pictures/27757976/fb7edea6_original.jpg?aki_policy=small,10128.0,3.0,2.0;;;;
